N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
28,ESTAPILLA COLIMA,CFE,PC027,18.97942637,-103.5308626,0,T1-H2-C03,16,N/A,0,PC026,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21.1,-19.9,0
29,ESTAPILLA COLIMA,CFE,PC028,18.97983075,-103.5305836,0,N/A,N/A,N/A,0,PC027,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
30,ESTAPILLA COLIMA,CFE,PC029,18.97990159,-103.5304026,0,N/A,N/A,N/A,0,PC028,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
31,ESTAPILLA COLIMA,CFE,PC030,18.9795649,-103.5301016,0,N/A,N/A,N/A,0,PC029,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
32,ESTAPILLA COLIMA,CFE,PC031,18.979116,-103.529884,0,T1-H2-C04,16,N/A,0,PC030,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-21.1,-19.05,0
33,ESTAPILLA COLIMA,CFE,PC032,18.97682874,-103.5325759,0,N/A,N/A,N/A,0,PC008,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
34,ESTAPILLA COLIMA,CFE,PC033,18.97644228,-103.5328357,0,T1-H2-C06,8,N/A,0,PC032,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.3,-18.37,0
35,ESTAPILLA COLIMA,H AYUN,PAE02,18.97624,-103.53248,0,N/A,N/A,N/A,0,PC033,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,ESTAPILLA COLIMA,H AYUN,PAE03,18.97605905,-103.5321689,0,N/A,N/A,N/A,0,PAE02,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
37,ESTAPILLA COLIMA,H AYUN,PAE04,18.97586605,-103.5318156,0,T1-H2-C07,16,N/A,0,PAE03,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-20.5,-18.27,0
38,ESTAPILLA COLIMA,H AYUN,PAE05,18.97568674,-103.5314785,0,N/A,N/A,N/A,0,PAE04,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
39,ESTAPILLA COLIMA,YI,PMN01,18.97550936,-103.5311248,0,T1-H2-C08,8,N/A,0,PAE05,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.7,-18.85,0
40,ESTAPILLA COLIMA,H AYUN,PAE07,18.97499639,-103.5314839,0,N/A,N/A,N/A,0,PMN01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
41,ESTAPILLA COLIMA,CFE,PC034,18.97468966,-103.5318986,0,T1-H2-C09,16,N/A,0,PAE07,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-18,-16.52,0
42,ESTAPILLA COLIMA,CFE,PC035,18.97499454,-103.532573,0,T1-H2-C10,8,N/A,0,PC034,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.1,-19.05,0
43,ESTAPILLA COLIMA,H AYUN,PAE08,18.97660782,-103.5303426,0,N/A,N/A,N/A,0,PC011,LISTO,LISTO,N/A,LISTO,N/A,N/A,LISTO,LISTO,N/A,N/A,N/A,N/A
44,ESTAPILLA COLIMA,CFE,PC036,18.97700792,-103.530105,0,N/A,N/A,N/A,0,PAE08,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
45,ESTAPILLA COLIMA,CFE,PC037,18.97739445,-103.5298547,0,T1-H3-C02,16,N/A,0,PC036,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21,-19.85,0
46,ESTAPILLA COLIMA,CFE,PC038,18.97611952,-103.5301996,0,N/A,N/A,N/A,0,PC011,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
47,ESTAPILLA COLIMA,CFE,PC039,18.975903,-103.5297823,0,T1-H3-C03,16,N/A,0,PC038,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.3,-20.81,0
48,ESTAPILLA COLIMA,CFE,PC040,18.975706,-103.529427,0,N/A,N/A,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
49,ESTAPILLA COLIMA,H AYUN,PAE09,18.97542921,-103.5289033,0,T1-H3-C10,8,N/A,0,PC040,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-20.3,-19.32,0
50,ESTAPILLA COLIMA,CFE,PC041,18.9755525,-103.5300133,0,N/A,N/A,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
51,ESTAPILLA COLIMA,CFE,PC042,18.97508526,-103.5303403,0,T1-H3-C04,16,N/A,0,PC041,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-22.4,-21.08,0
52,ESTAPILLA COLIMA,CFE,PC043,18.97466281,-103.5306194,0,N/A,N/A,N/A,0,PC042,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
53,ESTAPILLA COLIMA,CFE,PC044,18.97424052,-103.5309176,0,T1-H3-C05,16,N/A,0,PC043,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-22.3,-20.27,0
54,ESTAPILLA COLIMA,CFE,PC045,18.97380911,-103.5312063,0,N/A,N/A,N/A,0,PC044,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
55,ESTAPILLA COLIMA,CFE,PC046,18.97349455,-103.531418,0,N/A,N/A,N/A,0,PC045,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
56,ESTAPILLA COLIMA,CFE,PC047,18.97308136,-103.5317255,0,T1-H3-C06,16,N/A,0,PC046,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-22.3,-21.15,0
57,ESTAPILLA COLIMA,CFE,PC048,18.97626255,-103.5295417,0,N/A,N/A,N/A,0,PC039,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
58,ESTAPILLA COLIMA,CFE,PC049,18.97662198,-103.5292916,0,N/A,N/A,N/A,0,PC048,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
59,ESTAPILLA COLIMA,CFE,PC050,18.97696349,-103.5290607,0,T1-H3-C07,16,N/A,0,PC049,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-20.3,-21.69,0
60,ESTAPILLA COLIMA,YI,PMN02,18.97738485,-103.5287837,0,T1-H3-C08,8,N/A,0,PC050,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-19.9,-21.54,0
61,ESTAPILLA COLIMA,CFE,PC051,18.97750536,-103.5286999,0,N/A,N/A,N/A,0,PMN02,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
62,ESTAPILLA COLIMA,CFE,PC052,18.97785001,-103.5284824,0,N/A,N/A,N/A,0,PC051,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
63,ESTAPILLA COLIMA,CFE,PC053,18.97813394,-103.5282848,0,N/A,N/A,N/A,0,PC052,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A,N/A,N/A
64,ESTAPILLA COLIMA,CFE,PC054,18.97863511,-103.5279348,0,T1-H3-C09,8,N/A,0,PC053,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,-19.9,-21.63,0
